"Species","L.Occ","R.Occ","Fire.Included","Type","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"TRBO",10,36,"No","Unavg",0.485817956073902,0.319253975494394,0.260235144723217,-4.15698064003662,0.011044530307718,0.00473500337505183,NA,0.0077936044123117,NA,NA,-4.09128689324179e-06,-7.86335287316188e-06,NA,NA,NA
"TRBO",10,36,"No","Unavg",0.793636391317307,0.273712347918077,0.247736258553996,-4.34787067742067,1.45980116181521,0.00738536067365109,NA,NA,NA,NA,-7.3239844851999e-06,NA,NA,NA,NA
"TRBO",10,36,"No","Avg",NA,NA,NA,-5.15161814679875,1.95004462736124,0.00806369237006113,NA,0.00106226555978012,NA,NA,-6.63138064085601e-06,-2.5104066654722e-06,NA,NA,NA
"VAAL",11,11,"No","Unavg",0,0.650668279523245,0.216600605878018,-29.7784474954347,10.1301289569212,0.0517434814442023,NA,-0.0107551256109429,NA,NA,-2.38946171288554e-05,NA,NA,NA,NA
"VAAL",11,11,"No","Unavg",1.24395599566193,0.349331720476755,0.220418506546805,-37.2596445232808,21.6009659391273,0.0660963611999002,NA,-0.0348272908264747,NA,NA,-3.06337068826956e-05,1.24611603740149e-05,NA,NA,NA
"VAAL",11,11,"No","Avg",NA,NA,NA,-32.3918669243978,14.1372561752237,0.0567573976230563,NA,-0.0191642965012854,NA,NA,-2.62487949470116e-05,4.35307859259141e-06,NA,NA,NA
"VADE",34,73,"No","Unavg",0,0.731019421721059,0.503250550826476,-48.9316259537167,1.45480718578573,0.05333466927896,NA,NA,NA,NA,-1.46301738910983e-05,NA,NA,NA,NA
"VADE",34,73,"No","Unavg",1.99960170161984,0.268980578278941,0.503251202107627,-48.9917414379397,1.50701326249384,0.0533862018920873,NA,-3.06917455308217e-05,NA,NA,-1.46397272227405e-05,NA,NA,NA,NA
"VADE",34,73,"No","Avg",NA,NA,NA,-48.9477958514265,1.46884960648835,0.0533485305510392,NA,-8.25548346127053e-06,NA,NA,-1.46327435517679e-05,NA,NA,NA,NA
"VAME",95,152,"Yes","Unavg",0,0.441938802190525,0.160610552290288,-6.75931509353132,0.826689205506921,0.010796689572983,-77.5993505440094,NA,0.0937454271662714,NA,-4.39723194834e-06,NA,-2.80272114877981e-05,NA,NA
"VAME",95,152,"Yes","Unavg",1.43892437178476,0.215230431803621,0.161205856485983,-6.99485965580463,1.1969153543494,0.0110103930729866,-76.945906457415,-0.000315721714711007,0.0929121930011362,NA,-4.40851806448685e-06,NA,-2.77664585991077e-05,NA,NA
"VAME",95,152,"Yes","Unavg",1.8596487915986,0.174399216707703,0.165003486722053,-7.05415825962321,1.29443453398569,0.0110692172592511,-97.4337956526867,-0.000413805409955613,0.125997685013339,-21.6914087521196,-4.40936759357082e-06,NA,-4.04752445242328e-05,0.0137364535593507,NA
"VAME",95,152,"Yes","Unavg",1.92928396854415,0.168431549298152,0.160685582371995,-6.74965192240602,0.817072167789288,0.0107884764287419,-79.1596554532253,NA,0.0955522450235879,0.232263704890096,-4.39388721571334e-06,NA,-2.85905026606661e-05,NA,NA
"VAME",95,152,"Yes","Avg",NA,NA,NA,-6.85980428571268,0.986327745730225,0.0108888303319739,-81.1806257551141,-0.000140120260352698,0.0994951834537067,-3.7438441599959,-4.40121415251587e-06,NA,-3.02368927470292e-05,0.00239562674109249,NA
