"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi","P.Intercept","P.Elevation.m","P.Elevation.m2","P.Resurvey.Burned.fi","P.Resurvey.Unburned.fi","P.Elevation.m.Res.Burn.fi","P.Elevation.m.Res.Unburn.fi","P.Elevation.m2.Res.Burn.fi","P.Elevation.m2.Res.Unburn.fi"
"CEVE",57,26,22,"Yes","Global_unavg",0.136143669000316,-2.84636818813681,-17.3187334830163,-18.8379878475593,1.74968548956865,-0.815059229117005,2.89539053202249,20.8215351647618,-30.6734920484813,-8.54389285141886,6.81045494175362e-25,0.0529415145912759,0.0277241389573842,0.00255582057283687,0.109506905832458,0.870530062036214,0.160395789869086,0.150453406533387,0.597489326427008
"EPAN",57,18,22,"Yes","Global_unavg",0.117073474427266,-3.27081353062761,-1.48934084073626,-25.4282138865056,1.47064877852027,-0.00320412400998469,-52.3733160912728,6.64839272727412,-10.9321967573167,15.8815741757144,2.32207809980904e-23,0.874926886211092,0.0184441783337348,0.0984284313256729,0.994312254527474,0.0877564433129824,0.610676702842762,0.621869371308912,0.266692323197184
"PAMY",57,127,110,"Yes","Global_unavg",0.0550653180149399,-0.704733383418326,-10.7565459077929,-11.1839878274356,0.65748772260924,-0.38309265305616,-2.61723681983397,-2.13124980547843,12.2816727108426,-3.41909819506433,1.36431722698468e-09,0.00202000752434979,0.00143191711834115,0.0801581800116515,0.0347054904443585,0.76700061745156,0.702445052236596,0.16505908092443,0.543585214074314
"VAME",57,95,108,"Yes","Global_unavg",0.0977882383909542,-1.25593089617595,11.6981043688607,-22.3676915577098,-1.86603131279903,0.275724070856871,51.6059035902167,-5.58779639509283,NA,NA,1.59244871852867e-20,0.00448761295685799,1.43908325066819e-12,0.0782678658433385,0.123745168917058,0.0245755385962,0.330854416062024,NA,NA
"ACMI",58,10,16,"Yes","Global_unavg",0.145738592207341,-3.79745937337048,-17.9955828942424,-12.3361524275376,2.52124879932391,-1.54978663366542,11.7737533891398,83.6147511087103,10.9409446462147,-17.2023900384311,8.40491574835996e-20,0.188890779587469,0.31329620887416,2.19930682286925e-05,0.282730351906843,0.48228594252524,0.0375240052850718,0.483731169693955,0.499551185847026
"ARUV",58,42,26,"Yes","Global_unavg",0.0523894606402945,-2.28040959202362,-21.5962761760837,-8.93718378183508,0.295803627409879,-0.456459938793923,6.28612635580904,20.3304624107999,9.34387890709832,1.14928963089105,5.0725254406847e-27,0.00192279766269449,0.131171399024461,0.619967901267069,0.15021709538469,0.677872532752289,0.0400173994309659,0.50426586634724,0.902612461692803
"CARU",58,33,19,"Yes","Global_unavg",0.0724510735831394,-2.50702889624271,-16.6485357093272,-12.7340878391658,0.710289077822843,-1.22936253815603,12.8315383186532,6.10744987123896,7.32464849590912,-24.5263966993689,1.42756004345815e-28,0.0234860878202895,0.0610342049335168,0.190808085986055,0.0232089250422587,0.365716958474418,0.690165522676629,0.600188763800968,0.152277920798651
"CEVE",58,26,22,"Yes","Global_unavg",0.146503339183355,-2.8463681881368,-17.3187334830163,-18.8379878475593,1.94716097269786,-0.829574535003535,-2.58098473639831,21.068293510195,-27.6600504004877,-4.93975799903238,6.81045494175412e-25,0.0529415145912762,0.0277241389573845,0.000422209523758047,0.0973248937005265,0.883497055301803,0.155074444879568,0.160983465377915,0.756179779009507
"EPAN",58,18,25,"Yes","Global_unavg",0.0756154321040181,-3.27081353062762,-1.48934084073626,-25.4282138865055,2.20669427637264,0.245071658145799,-5.5770005013815,0.0534684181259666,18.29193368567,17.6601991346294,2.32207809980867e-23,0.874926886211091,0.0184441783337348,1.93335790599101e-05,0.56371865223529,0.684029845923569,0.996562331640261,0.21371143777777,0.194855300847272
"PAMY",58,127,104,"Yes","Global_unavg",0.0533468693031108,-0.704733383418326,-10.7565459077929,-11.1839878274356,0.658608520277703,-0.457173828566302,5.36562458188642,-3.05245574896114,3.26999809820289,-1.90047038840887,1.3643172269847e-09,0.00202000752434981,0.00143191711834116,0.0754544260913477,0.0126432867098904,0.538703133497455,0.58928024299605,0.714272164883872,0.736377834465031
"VAME",58,95,112,"Yes","Global_unavg",0.0954375199881765,-1.2490312687212,11.6050245715422,-21.8714334518615,-1.5526178618676,0.325669187558609,49.50240758538,-7.38229288796827,NA,NA,1.70080326931994e-20,0.00458575266211301,2.08676352579504e-12,0.103465288055062,0.0672044077993911,0.0179928638849618,0.1948946595923,NA,NA
"ACMI",59,10,18,"Yes","Global_unavg",0.101556334536257,-3.79745936398686,-17.9955825669525,-12.336152189076,2.36094593392271,0.0838079015226845,15.143589189563,42.0561433303619,11.0903609115578,12.5858842560558,8.34673697743087e-20,0.188848414916994,0.313261867879323,0.000101316615525049,0.8880775257622,0.37067659609359,0.0195908532231652,0.482930174211205,0.41482893511148
"ARUV",59,42,28,"Yes","Global_unavg",0.049238751322446,-2.28040959202362,-21.5962761760837,-8.93718378183509,0.295803627409879,-0.369790312507109,6.28612635580909,20.9056513628187,9.34387890709835,-0.0462058150174922,5.0725254406844e-27,0.00192279766269449,0.131171399024461,0.619967901267068,0.235648511521301,0.677872532752287,0.0320941682971376,0.50426586634724,0.996021288223512
