"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"TRBO",11,10,23,"No","Unavg",0.185730968707894,-4.24451067390366,NA,NA,0.917734474388988,NA,NA,NA,NA,NA,NA,NA,NA
"VAME",11,95,116,"Yes","Unavg",0.104911012729637,-1.26426783941622,11.8086619597237,-22.9570452669029,NA,NA,NA,-1.89055580830035,0.399224213442353,52.5178326006512,-5.47048881679518,NA,NA
"VASI",11,24,27,"No","Unavg",0.17132655397749,-11.4601802126255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACCI",12,72,55,"No","Unavg",0.244821931357507,-2.26567206465823,NA,NA,-0.390057962559288,NA,NA,NA,NA,NA,NA,NA,NA
"ACGL",12,15,13,"No","Unavg",0.0630653744489296,-4.28121331440448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ACMI",12,10,19,"Yes","Unavg",0.137695499688306,-3.6687749680583,-11.9688011114787,NA,NA,NA,NA,2.67259714630286,-0.174429373496964,6.05897705292108,32.9781965657865,NA,NA
"AMAL",12,42,46,"No","Unavg",0.118957100370351,-3.24842650528349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARUV",12,42,28,"Yes","Unavg",0.0482623987872984,-2.26729402443731,-21.0142400725167,-8.01020932641227,NA,NA,NA,0.322989777189884,-0.373292370242785,2.29181631508839,20.3868132881415,NA,NA
"ATFI",12,24,29,"No","Unavg",0.0738720203913911,-1.60322870796522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARU",12,33,20,"Yes","Unavg",0.0552992110338589,-2.48749244505605,-13.0921353915962,-14.7016058219708,NA,NA,NA,0.654912829965711,-0.752902790051945,NA,NA,NA,NA
"CEVE",12,26,22,"Yes","Unavg",0.120257971533839,-2.89662679647825,-11.6150848341692,-25.1269306031322,NA,NA,NA,1.99914787862824,-0.73777299037125,NA,NA,NA,NA
"CHUM",12,61,47,"No","Unavg",0.158999125981639,-4.23816223914421,NA,NA,0.241872306612415,NA,NA,NA,NA,NA,NA,NA,NA
"CLUN",12,44,50,"No","Unavg",0.14315430417074,-7.37416588884651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COCA",12,20,23,"No","Unavg",0.10508176366026,-3.5476703725527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EPAN",12,18,23,"Yes","Unavg",0.124466753917261,-3.30022943905513,-10.0912947865456,-25.7804242855938,NA,NA,NA,2.40947330405176,-0.25439177977695,NA,NA,NA,NA
"GAOV",12,11,7,"No","Unavg",0.114298339205594,-14.5459594933847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GASH",12,21,23,"No","Unavg",0.188094897549037,-0.974445980975956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GOOB",12,20,50,"No","Unavg",0.124770209080103,-4.06106499121013,NA,NA,1.05741906399575,NA,NA,NA,NA,NA,NA,NA,NA
"GYDR",12,17,23,"No","Unavg",0.054483194666925,-4.30979354294518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIAL",12,12,10,"No","Unavg",0.0619596037099963,-2.53089268646736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HODI",12,17,10,"No","Unavg",0.147347153511209,-4.9765389321589,-74.4661334370302,-19.8463113264628,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIBO",12,48,65,"No","Unavg",0.202238736645613,-4.90321707185002,NA,NA,0.420437836260854,NA,NA,NA,NA,NA,NA,NA,NA
"MANE",12,61,57,"No","Unavg",0.259684678679076,-4.03607945453912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEFE",12,26,13,"No","Unavg",0.0361867782598064,-5.49917471866119,NA,NA,-0.733009169689058,NA,NA,NA,NA,NA,NA,NA,NA
"OPHO",12,29,16,"No","Unavg",0.122987951853544,-0.476694350705115,NA,NA,-5.37927584138026,NA,NA,NA,NA,NA,NA,NA,NA
"PAMY",12,127,101,"Yes","Unavg",0.056304486448423,-0.709634487640902,-11.9092906740961,-10.8611231724657,NA,NA,NA,0.805130123888374,-0.485382122625312,NA,NA,NA,NA
