"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Data.Type","Elevation.m","Fires","Data.Type.Elevation.m","Elevation.m.Fires","Data.Type.Fires","Elevation.m2","Data.Type.Elevation.m2","Elevation.m2.Fires","Data.Type.Elevation.m.Fires","Data.Type.Elevation.m2.Fires"
"HODI",1,17,10,"No","Unavg","Mod.6",0.722684714821924,0.15151504474102,0.151648749218475,-1.99574580390973,NA,0.000996956805792695,NA,NA,NA,NA,-2.71122816980633e-06,NA,NA,NA,NA
"HODI",1,17,10,"No","Unavg","Mod.7",0.753916948087834,0.149167346802657,0.160150828026828,-1.73325786029079,-0.5718977429913,0.000975196704188603,NA,NA,NA,NA,-2.70516602747829e-06,NA,NA,NA,NA
"HODI",1,17,10,"No","Avg",NA,NA,NA,NA,-1.45922782443943,0.274822924153362,-0.000379857453485628,0,-0.00106679950478736,0,0,-1.64220887079093e-06,0,0,0,0
"LIBO",1,48,67,"No","Unavg","Mod.15",1.27147131412733,0.346211135037353,0.209751920117467,-5.49018797263966,1.09454688630262,0.011830535666322,NA,-0.000816042329864909,NA,NA,-7.67807772691632e-06,NA,NA,NA,NA
"LIBO",1,48,67,"No","Unavg","Mod.7",0,0.653788864962647,0.208610567120926,-5.10622924078705,0.466016658400402,0.0112987926192096,NA,NA,NA,NA,-7.63600785208254e-06,NA,NA,NA,NA
"LIBO",1,48,67,"No","Avg",NA,NA,NA,NA,-5.23916002914924,0.683620822007716,0.0114828879830986,0,-0.000282522941261056,0,0,-7.65057291119962e-06,0,0,0,0
"LUPE",1,35,35,"No","Unavg","Mod.2",0,0.731058540498951,0.377867041942402,-10.0525388220847,NA,0.00526112019808448,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUPE",1,35,35,"No","Unavg","Mod.3",1.99999961211864,0.268941459501049,0.377867042780695,-10.0526321026391,0.000186956275436184,0.00526112008548602,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUPE",1,35,35,"No","Avg",NA,NA,NA,NA,-10.0525639090931,5.02802935786875e-05,0.00526112016780209,0,0,0,0,0,0,0,0,0
"MANE",1,61,57,"No","Unavg","Mod.6",0,0.713711013624595,0.26070772233549,-4.20317746867558,NA,0.0117762824575449,NA,NA,NA,NA,-9.30411114076246e-06,NA,NA,NA,NA
"MANE",1,61,57,"No","Unavg","Mod.7",1.82695279009454,0.286288986375405,0.260974631008609,-4.15743906057934,-0.0927954238573271,0.0117777635209772,NA,NA,NA,NA,-9.3058131723123e-06,NA,NA,NA,NA
"MANE",1,61,57,"No","Avg",NA,NA,NA,NA,-4.19008306618329,-0.0265663078363903,0.0117767064696937,0,0,0,0,-9.30459841364964e-06,0,0,0,0
"MEFE",1,26,12,"Yes","Unavg","Mod.191",0.0665506559064966,0.305127544970585,0.113655171103216,-5.46567437250765,-11.8491460198193,0.00577363161181163,-10.6016631837221,0.0184397465489609,0.00724739514470484,NA,-2.53855194341347e-06,-7.15537840676634e-06,NA,NA,NA
"MEFE",1,26,12,"Yes","Unavg","Mod.207",0,0.315451579324025,0.107196265296572,-7.51102787319986,-0.593412220067287,0.00921469270074371,-10.5045942947401,NA,0.00750274123604041,-16.0477453998111,-3.874755125627e-06,NA,NA,NA,NA
"MEFE",1,26,12,"Yes","Unavg","Mod.735",1.27673107660252,0.166607318789647,0.116293652572902,-7.19030797486351,-2.74456067950893,0.00935008007556392,-11.86574691522,0.00183786658840486,0.00858548673368161,-1.49606981731963,-4.22541820399135e-06,NA,NA,-0.0099102101131864,NA
"MEFE",1,26,12,"Yes","Unavg","Mod.767",0.78717746926003,0.212813556915743,0.124610287451151,-5.68005735592363,-9.84738116139052,0.00632706441765888,-9.4195441886224,0.0144055982312274,0.00693376986328628,-3.00120309437787,-2.86892738405312e-06,-5.19393152820831e-06,NA,-0.00884323325927097,NA
"MEFE",1,26,12,"Yes","Avg",NA,NA,NA,NA,-6.44384455020294,-6.35561376436491,0.00757276026012704,-10.5300773025751,0.0089983832180381,0.00748413661274787,-5.9502395174871,-3.31141198501225e-06,-3.28864208948698e-06,0,-0.00353307346014108,0
"OPHO",1,29,16,"No","Unavg","Mod.15",1.30613566618973,0.342298541531876,0.117858450680604,-1.65670470942965,-2.47676082134117,0.00156425536836261,NA,0.00232508161862667,NA,NA,-2.45314315399325e-06,NA,NA,NA,NA
"OPHO",1,29,16,"No","Unavg","Mod.31",0,0.657701458468124,0.127616014971993,-0.476694350705145,-6.5354572401423,-0.00161149233818354,NA,0.0120874953318092,NA,NA,-6.02477747479232e-07,-5.22049664529643e-06,NA,NA,NA
"OPHO",1,29,16,"No","Avg",NA,NA,NA,NA,-0.880610175489049,-5.14617137546603,-0.000524438529959594,0,0.00874583535595604,0,0,-1.23595781699248e-06,-3.43352825753941e-06,0,0,0
"PAMY",1,127,101,"Yes","Unavg","Mod.143",0.858102574949044,0.264074654305163,0.0534596835750362,-2.22521551612043,-0.345782132517838,0.00404973268820527,0.394931978169053,NA,0.000531347917973366,NA,-2.10676893391961e-06,NA,NA,NA,NA
"PAMY",1,127,101,"Yes","Unavg","Mod.15",0,0.40556580117995,0.0522073296144971,-2.2880019295447,-0.345581937967482,0.00407023052125552,0.964268252278983,NA,NA,NA,-2.07321860651884e-06,NA,NA,NA,NA
"PAMY",1,127,101,"Yes","Unavg","Mod.31",1.68112669927723,0.174988416878297,0.0525570477523172,-2.1836196709734,-0.570194070929101,0.00396950985915444,0.965000476941516,0.000215688152727411,NA,NA,-2.07280598767189e-06,NA,NA,NA,NA
"PAMY",1,127,101,"Yes","Unavg","Mod.79",1.9189330105545,0.155371127636591,0.0522962382704533,-2.29692107103596,-0.328816918486914,0.00407302689437163,1.03735934022036,NA,NA,-0.148083530593682,-2.07467392365427e-06,NA,NA,NA,NA
"PAMY",1,127,101,"Yes","Avg",NA,NA,NA,NA,-2.2545417200181,-0.382334525851227,0.00404762708951511,0.825405348098146,3.77429283851739e-05,0.000140315517754585,-0.0230079051327479,-2.08223230837462e-06,0,0,0,0
"PHEM",1,61,49,"No","Unavg","Mod.11",1.39787032560434,0.217793861166827,0.413450212909062,-9.55920252510356,0.838340222356801,0.00556976826791007,NA,-0.000776613098715626,NA,NA,NA,NA,NA,NA,NA
"PHEM",1,61,49,"No","Unavg","Mod.2",0.483162266797933,0.344089932145285,0.40848324393004,-9.09239414440147,NA,0.00515139950610464,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHEM",1,61,49,"No","Unavg","Mod.3",0,0.438116206687888,0.412480852643947,-8.94517074538247,-0.4154300493699,0.00518535587424328,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHEM",1,61,49,"No","Avg",NA,NA,NA,NA,-9.12956118694571,0.000578716624441672,0.00525739448933163,0,-0.000169141565402011,0,0,0,0,0,0,0
"POMU",1,20,10,"No","Unavg","Mod.11",1.69211255882306,0.194181999225676,0.188940108583567,0.413223879817704,-1.31115463440205,-0.00406927092034921,NA,0.000859116320229776,NA,NA,NA,NA,NA,NA,NA
"POMU",1,20,10,"No","Unavg","Mod.2",1.77270874530601,0.186512407753781,0.172672730260225,-0.139031901291629,NA,-0.00370958169879895,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POMU",1,20,10,"No","Unavg","Mod.3",0,0.452529131030052,0.187712709140509,0.208155626354059,-0.77096299421109,-0.00374255113660649,NA,NA,NA,NA,NA,NA,NA,NA,NA
