"new_Model_id","X.Intercept.","AIC","logLik","Data.TypeResurvey","Elevation.m","Elevation.m2","Data.TypeResurvey.Elevation.m","Data.TypeResurvey.Elevation.m2","Model_id","Has_warning","Probability_warning","Converge_warning","Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","FiresBurned","Data.TypeResurvey.FiresBurned","Elevation.m.FiresBurned","Elevation.m2.FiresBurned","Data.TypeResurvey.Elevation.m.FiresBurned","Data.TypeResurvey.Elevation.m2.FiresBurned"
"Mod.155",-0.310156401239619,489.353934990293,-238.676967495146,-0.0236360271495592,-0.00183778174796369,NA,3.30759128902342e-05,NA,"155",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.416032944137293,NA,-0.000310592486916133,NA,NA,NA
"Mod.159",-3.01823553332742,477.020536266063,-231.510268133032,-0.0414661156684592,0.00468221585259365,-3.37634629571221e-06,5.79408451312628e-05,NA,"159",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.742636807118914,NA,-0.000538438740805398,NA,NA,NA
"Mod.19",-0.250524464123278,485.680194060411,-238.840097030205,-0.0237097634653349,-0.00188629596753082,NA,3.32570006684776e-05,NA,"19",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.191",-3.22051895602109,478.955488403171,-231.477744201586,0.349759888353125,0.0051830837551823,-3.65030066221103e-06,-0.000908646882098503,5.26281311280839e-07,"191",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.743988108435601,NA,-0.000540110004969823,NA,NA,NA
"Mod.2",-0.262431644166826,481.683279192539,-238.841639596269,NA,-0.00186958685057696,NA,NA,NA,"2",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
"Mod.203",-0.356492483653871,488.7631960896,-238.3815980448,0.0685766064377056,-0.00182136372857481,NA,NA,NA,"203",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.704741395722991,-0.59244819449494,-0.00032641511606488,NA,NA,NA
"Mod.2047",-3.74055153415865,485.499632684827,-230.749816342414,0.836363521421498,0.0064043503397841,-4.33549840310291e-06,-0.00199301544870018,1.15112498939624e-06,"2047",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",2.61112551860769,-1.23197284817387,-0.00500681951955117,2.67138046937787e-06,0.0024923530369937,-1.95315249672266e-06
"Mod.207",-3.07649844208392,476.427971109958,-231.213985554979,0.0706196767129437,0.00471577071026175,-3.37878746843541e-06,NA,NA,"207",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",1.02867683346075,-0.594572299253907,-0.000548656516277128,NA,NA,NA
"Mod.219",-0.359675398018407,490.763056146399,-238.3815280732,0.0747938437430321,-0.00181755861974538,NA,-7.41930003831861e-06,NA,"219",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",0.705679569593427,-0.593242074565584,-0.000327246797074241,NA,NA,NA
"Mod.223",-3.08433238026883,478.427462802967,-231.213731401484,0.0857421086162153,0.00472542257293645,-3.3788801865393e-06,-1.84589429010213e-05,NA,"223",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",1.03113819451132,-0.596709135920421,-0.000550682519812025,NA,NA,NA
"Mod.23",-2.81939122456511,473.97958530663,-231.989792653315,-0.0412509901937891,0.00437439089534261,-3.26020691868682e-06,5.77926043790075e-05,NA,"23",FALSE,FALSE,FALSE,"AMAL",1,42,42,"Yes","Unavg.w.warn",NA,NA,NA,NA,NA,NA
