"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Intercept.CI.Lower","Elevation.m.CI.Lower","Elevation.m2.CI.Lower","Data.Type.nofi.CI.Lower","Data.Type.Elevation.m.nofi.CI.Lower","Data.Type.Elevation.m2.nofi.CI.Lower","Resurvey.Burned.fi.CI.Lower","Resurvey.Unburned.fi.CI.Lower","Elevation.m.Res.Burn.fi.CI.Lower","Elevation.m.Res.Unburn.fi.CI.Lower","Elevation.m2.Res.Burn.fi.CI.Lower","Elevation.m2.Res.Unburn.fi.CI.Lower","Intercept.CI.Upper","Elevation.m.CI.Upper","Elevation.m2.CI.Upper","Data.Type.nofi.CI.Upper","Data.Type.Elevation.m.nofi.CI.Upper","Data.Type.Elevation.m2.nofi.CI.Upper","Resurvey.Burned.fi.CI.Upper","Resurvey.Unburned.fi.CI.Upper","Elevation.m.Res.Burn.fi.CI.Upper","Elevation.m.Res.Unburn.fi.CI.Upper","Elevation.m2.Res.Burn.fi.CI.Upper","Elevation.m2.Res.Unburn.fi.CI.Upper"
"PTAQ",72,47,18,"No","Avg.Confidence",-3.93909095388745,-0.000936609101315924,-4.21427385631159e-06,-2.08754210734288,-0.000886732630797692,NA,NA,NA,NA,NA,NA,NA,-0.471615947529178,0.00668958484541531,-3.57113215640598e-07,-0.155149844939449,0.000983597910938525,NA,NA,NA,NA,NA,NA,NA
"RULA",72,18,13,"No","Avg.Confidence",-32.4142688406545,0.00523720286921237,-1.52284082397061e-05,-11.9730478052476,-0.0265850526107913,-6.02247216180573e-06,NA,NA,NA,NA,NA,NA,-5.9824808685538,0.0433233078033902,-1.79914152028455e-06,18.2072720423433,0.0171547087017507,9.29361769376403e-06,NA,NA,NA,NA,NA,NA
"RUPA",72,33,21,"No","Avg.Confidence",-9.18301549541659,0.00297903345064167,-9.63107676045046e-06,-3.30553758014791,-0.0100283469492549,-3.47515267278712e-06,NA,NA,NA,NA,NA,NA,-2.769650048444,0.0173572034963829,-2.08818748354271e-06,4.06356930687519,0.00666675990432573,5.16681391122789e-06,NA,NA,NA,NA,NA,NA
"RUPE",72,23,23,"No","Avg.Confidence",-9.63718340191997,0.00287078303450794,-4.96246490134321e-06,-0.311756476370378,NA,NA,NA,NA,NA,NA,NA,NA,-4.2398648880639,0.0123543001484526,-1.04668982424441e-06,0.313523277698268,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",72,15,22,"No","Avg.Confidence",-3.78949992146396,-0.0044019276646851,-2.34597857559382e-06,-0.671447099344094,-0.000665088389985371,NA,NA,NA,NA,NA,NA,NA,-0.149743615649388,0.00329118190534326,1.33077138532336e-06,0.948548292427198,0.00082757974407151,NA,NA,NA,NA,NA,NA,NA
"SOSI",72,48,15,"No","Avg.Confidence",-13.6812752479256,0.00673860089406463,-6.10388724737352e-06,-3.63277543567384,-0.00106610945703415,NA,NA,NA,NA,NA,NA,NA,-6.53320058551197,0.0176677953111996,-2.0566818122757e-06,0.314086393339323,0.00152204996173811,NA,NA,NA,NA,NA,NA,NA
"SPBE",72,17,28,"No","Avg.Confidence",-6.20243871760732,-0.000507780599994202,-6.3037484691478e-06,-0.681540246538444,-0.000973631960979842,NA,NA,NA,NA,NA,NA,NA,-1.55151050723986,0.00997436074551225,-6.55947068550995e-07,1.43394194616118,0.00100173280516676,NA,NA,NA,NA,NA,NA,NA
"TITR",72,34,40,"No","Avg.Confidence",-4.15404518883586,-0.000789814273535875,-3.41830555677311e-06,-0.269057955159581,NA,NA,NA,NA,NA,NA,NA,NA,-1.04267570115119,0.00581262656733467,-2.34233323867419e-07,0.395082940508294,NA,NA,NA,NA,NA,NA,NA,NA
"TRBO",72,10,30,"No","Avg.Confidence",-9.11249539199092,-0.00312251558634864,-1.31108198023419e-05,-2.49777858533441,-0.0102452059901324,-8.59644370539921e-06,NA,NA,NA,NA,NA,NA,-0.711389429695999,0.0181698511398009,4.2410191147811e-07,5.75134119433447,0.0109420345266628,6.03506006470528e-06,NA,NA,NA,NA,NA,NA
"VAME",72,95,112,"Yes","Avg.Confidence",-8.7567084109325,0.00813254325958955,-5.4178459489204e-06,NA,NA,NA,-13.5508492801045,-0.0484861228649295,0.00110575482533893,-0.0014931428903547,NA,NA,-5.46832139309465,0.0136666469264067,-3.17350687893671e-06,NA,NA,NA,-1.76799002409715,2.11021646316183,0.00824572050527602,0.000261657533558781,NA,NA
